Data,Tempo,X_ACLR,Y_ACLR,z_ACLR,X_GYRO,Y_GYRO,Z_GYRO
2025-08-12,09:10:09,-3664,-1992,15228,610,269,-360
2025-08-12,16:36:45,-3788,-2556,14168,-338,-481,175
2025-08-12,23:52:56,-5192,1980,14060,5798,4287,-4860
2025-08-13,07:09:04,-7040,-2492,16072,-2578,-1779,3597
2025-08-13,14:25:19,-316,-13292,23488,-12009,13024,-4200
2025-08-13,21:41:33,2636,-13852,17772,-6234,16818,4932
2025-08-14,04:57:46,4156,-12964,14536,-524,-310,6681
2025-08-14,12:13:58,7108,-12164,13576,3391,-12674,2829
2025-08-14,19:30:12,7904,-14904,10548,4212,-10843,-3358
2025-08-15,02:51:27,2740,-14096,9996,17224,-18336,-8065
2025-08-15,10:07:40,-2092,-11144,4768,23043,-31779,-6033
2025-08-15,17:23:53,-3740,-11776,7504,15078,-23210,-2142
2025-08-16,00:40:07,2480,-24156,14968,-1912,321,15130
2025-08-16,07:56:21,3504,-18544,12056,632,781,8089
2025-08-16,15:12:33,2356,-7764,10472,-1772,-14919,4825
2025-08-16,22:28:45,4964,-9228,12948,6,1129,1063
2025-08-17,05:44:57,2184,-4536,15300,-280,208,-78
2025-08-17,13:01:11,2116,-4552,15272,-22,117,-119
2025-08-17,20:17:25,2096,-4564,15236,-49,158,-134
2025-08-18,03:38:39,-2344,-268,16920,-3093,14445,-1313
2025-08-18,10:54:51,-3912,-4348,20404,-4405,-23022,280
2025-08-18,18:11:04,-7600,-920,9224,1279,4243,-475
2025-08-19,01:27:17,-3288,-1540,17724,6131,17856,847
2025-08-19,08:43:29,-2308,-2184,21796,-4894,-21501,1072
2025-08-19,15:59:41,-2528,336,15900,-2537,-4387,4151
2025-08-19,23:15:53,-44,-5296,13308,-1710,-3262,12437
2025-08-20,06:32:05,-7124,-1664,9716,11823,22587,-9562
2025-08-20,13:48:17,-2940,-1216,16780,1363,4512,1969
2025-08-20,21:09:32,-3004,-248,20068,-2738,-8061,568
2025-08-21,04:25:46,-1272,-4680,17928,-4258,11503,2776
2025-08-21,11:41:58,-472,-1984,22372,-1693,-2496,858
2025-08-21,18:58:10,-7360,-3592,17372,3197,-32768,-1520
2025-08-22,02:14:23,-7048,-2008,4016,-330,-1676,-2039
2025-08-22,09:30:35,-8760,-4076,8680,-3995,22225,1772
2025-08-22,16:46:48,-4580,-2424,20644,1906,7181,482
2025-08-23,00:03:00,-1564,-1364,25108,2702,-9604,2192
